comment,date,channel,theme
"The new healthcare policy is a great step forward.",2024-04-01,Email,Healthcare
"I disagree with clause 3, it lacks proper funding.",2024-04-02,Chat,Economics
"The environment initiative is okay, but could be more ambitious.",2024-04-03,Social Media,Environment
"This is a terrible idea and will hurt small businesses.",2024-04-04,Email,Economics
"Fantastic work on the education reform!",2024-04-05,Chat,Education
"I'm neutral about the new transport plan.",2024-04-06,Social Media,Transport
"The tax changes are very worrying for middle-income families.",2024-04-07,Email,Economics
"I love the emphasis on renewable energy in this proposal.",2024-04-08,Social Media,Environment
"The digitalization of government services is long overdue.",2024-04-09,Chat,Technology
"I'm not sure how this will be implemented in rural areas.",2024-04-10,Email,Healthcare
